"area_name","area_code","date","new_cases","total_cases"
"Hounslow","E09000018",2020-04-27,8,753
"Islington","E09000019",2020-04-27,7,443
"Kensington and Chelsea","E09000020",2020-04-27,5,478
"Kingston upon Thames","E09000021",2020-04-27,10,526
"Lambeth","E09000022",2020-04-27,11,1181
"Lewisham","E09000023",2020-04-27,16,998
"Merton","E09000024",2020-04-27,8,715
"Newham","E09000025",2020-04-27,16,1017
"Redbridge","E09000026",2020-04-27,26,785
"Richmond upon Thames","E09000027",2020-04-27,9,406
"Southwark","E09000028",2020-04-27,17,1243
"Sutton","E09000029",2020-04-27,13,771
"Tower Hamlets","E09000030",2020-04-27,5,661
"Waltham Forest","E09000031",2020-04-27,13,810
"Wandsworth","E09000032",2020-04-27,7,966
"Westminster","E09000033",2020-04-27,10,628
"Barking and Dagenham","E09000002",2020-04-28,6,537
"Barnet","E09000003",2020-04-28,25,1301
"Bexley","E09000004",2020-04-28,15,750
"Brent","E09000005",2020-04-28,19,1433
"Bromley","E09000006",2020-04-28,11,1157
"Camden","E09000007",2020-04-28,5,590
"Croydon","E09000008",2020-04-28,32,1529
"Ealing","E09000009",2020-04-28,16,1157
"Enfield","E09000010",2020-04-28,13,958
"Greenwich","E09000011",2020-04-28,11,735
"Hackney and City of London","E09000012",2020-04-28,3,659
"Hammersmith and Fulham","E09000013",2020-04-28,4,632
"Haringey","E09000014",2020-04-28,4,603
"Harrow","E09000015",2020-04-28,14,1006
"Havering","E09000016",2020-04-28,7,728
"Hillingdon","E09000017",2020-04-28,13,838
"Hounslow","E09000018",2020-04-28,12,765
"Islington","E09000019",2020-04-28,4,447
"Kensington and Chelsea","E09000020",2020-04-28,3,481
"Kingston upon Thames","E09000021",2020-04-28,3,529
"Lambeth","E09000022",2020-04-28,9,1190
"Lewisham","E09000023",2020-04-28,14,1012
"Merton","E09000024",2020-04-28,11,726
"Newham","E09000025",2020-04-28,7,1024
"Redbridge","E09000026",2020-04-28,11,796
"Richmond upon Thames","E09000027",2020-04-28,7,413
"Southwark","E09000028",2020-04-28,8,1251
"Sutton","E09000029",2020-04-28,5,776
"Tower Hamlets","E09000030",2020-04-28,3,664
"Waltham Forest","E09000031",2020-04-28,3,813
"Wandsworth","E09000032",2020-04-28,8,974
"Westminster","E09000033",2020-04-28,6,634
"Barking and Dagenham","E09000002",2020-04-29,7,544
"Barnet","E09000003",2020-04-29,17,1318
"Bexley","E09000004",2020-04-29,17,767
"Brent","E09000005",2020-04-29,18,1451
"Bromley","E09000006",2020-04-29,35,1192
"Camden","E09000007",2020-04-29,4,594
"Croydon","E09000008",2020-04-29,17,1546
